,indice_tiempo,ventas_precios_corrientes,ventas_precios_constantes,ventas_totales_canal_venta,salon_ventas,canales_on_line,ventas_totales_medio_pago,efectivo,tarjetas_debito,tarjetas_credito,otros_medios,ventas_totales_grupo_articulos,subtotal_ventas_alimentos_bebidas,bebidas,almacen,panaderia,lacteos,carnes,verduleria_fruteria,alimentos_preparados_rotiseria,articulos_limpieza_perfumeria,indumentaria_calzado_textiles_hogar,electronicos_articulos_hogar,otros
23,2018-12-01,57204.0,31136.1,57203955.86361999,56452356.42238999,751599.44123,57203955.86361999,19372979.314990014,16252211.763499994,19596671.42890001,1982093.35623,57203955.86361999,38897886.82512,9591843.12996,14277710.694189996,1987411.83077,5209569.967880001,5446438.43636,1782265.95895,602646.8070100001,7737390.299400001,1732097.9632399995,2850608.699660001,5985972.076199999
26,2019-03-01,51065.7,24647.7,51065694.25465001,50347782.683160014,717911.5714899999,51065694.25465001,17737278.503999993,13685678.100496195,17969551.879616998,1673185.7705400004,51065694.25465001,35639253.94641899,5901419.921098999,13664374.994759995,1863315.83183,5729158.058440001,6187148.573529999,1733045.1574399995,560791.4093200001,7753557.686830002,1250658.5743299995,2294642.2698900006,4127581.7771799993
28,2019-05-01,50778.3,22852.1,50778299.9144,49813853.04009,964446.87431,50778299.9144,17247751.268843994,13838777.255979998,18013021.917039998,1678749.47254,50778299.9144,35586722.00145,5258910.24774,14391198.41905,1910340.61452,6223354.017650002,5732375.989019999,1526614.2530900002,543928.4603800001,7602583.365410001,1504788.0079299998,2486484.8315199995,3597721.7080899994
29,2019-06-01,54413.4,23803.4,54413419.61482,53591716.25316001,821703.3616599999,54413419.61482,17995550.11326,15507030.32112,19225537.23247,1685301.94797,54413419.61482,37819361.44685999,5602884.226259999,15319207.31488,2072217.1330600004,6642410.27617,6000958.161809998,1591347.4123299995,590336.92235,8048845.872799999,1826746.71137,2810683.0828700005,3907782.500920001
30,2019-07-01,55044.5,23580.1,55044482.25732,54121341.62436,923140.63296,55044482.25732,18548992.456090007,15609905.9127,19194608.053610004,1690975.8349200003,55044482.25732,38131665.01202951,5612874.217779999,15602920.26619,2119480.47367,6625542.260160002,5890360.284974,1696455.0968255005,584032.4124300003,7868920.346770001,1715793.10165,3030760.22102,4297343.575850001
31,2019-08-01,59672.1,24329.9,59672104.45567001,58647926.47731001,1024177.97836,59672104.45567001,19745340.249500003,16044555.337071996,21781404.017981987,2100804.85112,59672104.45567001,41692727.534866,6069725.943820001,17125415.36678,2205098.44878,7351482.51123,6419554.8615259975,1903751.83603,617698.5666999999,8632826.213410001,1208097.67593,3073567.95134,5064885.080120002
32,2019-09-01,57885.3,22144.7,57885306.40686999,56887830.18007998,997476.22679,57885306.40686999,19561438.284749985,15872044.54628,20612694.849708997,1839128.7261300003,57885306.40686999,41090401.956106,6372597.213819998,16428217.44194,2192061.57613,7182926.619360001,6359574.893426,1949185.85839,605838.3530400002,8902170.01765,1202878.61775,2719800.95723,3970054.858129999
33,2019-10-01,66325.6,24652.7,66325579.59368,65144928.115430005,1180651.47825,66325579.59368,21884744.730451003,17749686.58293429,24432918.572433,2258229.7078618007,66325579.59368,45492474.30343828,7475899.072497,17942183.893732578,2403879.6151701985,7900014.451017998,6957491.715031801,2143017.1776677,669988.3783210004,10075045.155853303,1410451.35611,4712825.327799999,4634783.450476599
34,2019-11-01,67943.7,24270.7,67943710.18743,66454203.74208,1489506.4453500002,67943710.18743,22763201.5517,16506702.373734,26455726.00132099,2218080.26067,67943710.18743,46073845.36260799,8816995.30079,17296630.38648,2337204.02101,7523217.587329999,7072708.039417999,2347744.24576,679345.7818199999,10247962.26492,1572523.6138900002,4829969.163179999,5219409.78283
35,2019-12-01,83524.6,29147.9,83524644.2915,82246180.67768,1278463.61382,83524644.2915,27960470.497710004,21105019.72176601,31600065.928096,2859088.143929999,83524644.2915,57646427.95771201,13299621.47915,20776781.416310005,2985037.699810002,7985919.655520001,8877286.116901997,2838731.6731,883049.9169199999,11316019.2713,2197595.46859,4638017.9133,7726583.6806000015
36,2020-01-01,70145.0,23483.3,70145010.27273001,69104127.61199,1040882.66074,70145010.27273001,25121140.424074013,16421681.807168407,26279836.484293897,2322351.55719,70145010.27273001,47496667.89030299,8727149.3132,17489114.37861,2513045.890880001,7612363.147730001,7726181.492612999,2685147.6436800007,743666.02359,11066696.534919998,1775180.1644500005,3768285.2241500006,6038180.458899999
37,2020-02-01,72494.4,23702.0,72494433.66173999,71514175.14700998,980258.51473,72494433.66173999,23982883.637197025,18677850.857655,27241035.986255,2592663.180630001,72494433.66173999,50272765.35498399,8876881.393719997,18718680.52182,2642994.22275,8169113.796009998,8316318.598123997,2778662.8211,770114.00146,10866053.98348,1867271.73628,3407081.4500799994,6081261.13692
38,2020-03-01,85778.0,26996.7,85778031.08881997,84174875.51342997,1603155.57539,85778031.08881997,26532575.533931985,22420795.889567308,33716809.20248102,3107850.46284,85778031.08881997,61417479.251030006,8284935.992699997,26179704.492430013,2954223.17475,10540220.755719995,9503388.95934,3248772.9431,706232.9329899999,14387138.382410005,1048525.3074200004,3460494.399360001,5464393.7486000005
39,2020-04-01,75009.6,23142.7,75009596.63855001,71798954.70953001,3210641.9290200006,75009596.63855001,22263621.147818018,20850415.685067005,28559526.139535,3336033.66613,75009596.63855001,54905216.88272,7039345.747440001,23511297.2349,2723790.46888,9518952.156040002,8667536.044389999,2981509.854250001,462785.37682,10786534.82835,1071185.0036599997,3758966.100660001,4487693.823164
40,2020-05-01,78594.5,24012.7,78594521.82045001,74966605.02587001,3627916.794580001,78594521.82045001,24917663.39341,19703362.398560006,29750672.202390008,4222823.82609,78594521.82045001,54285024.123542,7437048.0772899985,22865786.66969,2588780.474071,9450381.786705,8676036.988140002,2771794.5182680013,495195.6093780001,11160547.922520002,2199429.091541,5705563.4648400005,5243957.21801
41,2020-06-01,78232.9,23449.5,78232859.60185996,74554853.95878996,3678005.64307,78232859.60185996,24031410.143659983,20569940.21072799,29332592.0091,4298917.23837,78232859.60185996,53685318.328287005,7839895.91612,22614018.901165,2512756.0308870003,9239346.590983,8376343.244302001,2610763.0102969995,492194.634533,10828484.986999998,2556936.805372,5726204.1957,5435915.285497
42,2020-07-01,81140.7,23791.4,81140696.22145997,76413721.76438998,4726974.45707,81140696.22145997,24935747.285053004,22143208.629241403,29569224.40345899,4492515.9037,81140696.22145997,55359666.66118,8048539.859389999,23393038.40763,2630487.79101,9592798.11519,8463266.122629998,2712593.82773,518942.5376,11217153.18945,2502616.6185000003,6125265.83921,5935993.913120001
43,2020-08-01,80412.0,22953.0,80411973.28758001,76406528.27118002,4005445.0164,80411973.28758001,24868416.64602999,21188270.691566996,29644413.805833004,4710872.144150001,80411973.28758001,55526501.796220005,8262233.876840003,22891446.99915,2684429.992779999,9681663.0829,8611272.961890003,2842695.030080001,552759.8525800001,11365760.889539998,1651664.5783599997,5086198.951540001,6781847.07192
44,2020-09-01,77055.8,21628.0,77055774.35700998,73111415.16161998,3944359.19539,77055774.35700998,24268469.258773003,20660854.9840306,27583639.698399987,4542810.41581,77055774.35700998,53998395.65966,8164340.13614,22018485.44868,2574722.638589999,9349357.228209998,8411476.0623,2932524.2403599992,547489.9053800002,11089691.91519,1599708.8727499996,4776635.481509999,5591342.4279000005
45,2020-10-01,89224.3,24105.8,89224281.05372998,84622602.74864998,4601678.305080001,89224281.05372998,27348110.49728398,23565536.115426205,33253696.394518998,5056938.0465,89224281.05372998,60214691.697208,9900033.945949998,23772929.5845,2819496.8426400004,10152813.64101,9440006.039748002,3508831.9935000003,620579.6498600001,12442138.22431,1961731.8334200005,8080339.485749999,6525379.813040002
46,2020-11-01,91093.5,24010.7,91093507.31223996,86255330.60578996,4838176.70645,91093507.31223996,28832513.453409992,23551887.32882601,33470452.079113003,5238654.45089,91093507.31223996,60913255.91404001,11401050.50442,23577259.62193001,2712393.48684,9625513.23871,9366000.91511,3600215.44108,630822.70595,12606465.754720002,2071758.23358,7962443.790279999,7539583.619620001
47,2020-12-01,115806.1,29931.1,115806128.11518,111830218.56443,3975909.55075,115806128.11518,36284788.051380016,31300615.016610008,41558670.65363998,6662054.393548,115806128.11518,80643208.2984066,19000862.4307321,29052388.41279859,3568526.30151,10374402.289710002,13502805.475350002,4262746.5995459,881476.7887600001,14197119.003489995,3022975.19777,7711912.075139999,10230913.54037
48,2021-01-01,98007.6,24420.0,98007583.25283,94524545.26598,3483037.9868500005,98007583.25283,31878415.60910801,26481717.359305102,34421611.729676,5225838.554741,98007583.25283,67171235.97265501,12982834.10476,24393220.467840005,2973192.4986529998,10138651.41012,11818373.501102,4076717.80431,788246.1858699999,14237729.536586003,2206737.4643900003,6405815.40872,7986064.870480001
49,2021-02-01,92954.2,22322.6,92954233.68111998,89908053.01556998,3046180.66555,92954233.68111998,30090418.939484,26089199.96886921,32111865.511882994,4662749.260879998,92954233.68111998,65274742.248134,12129210.025470003,23633068.01465,2964209.93213,10043345.31227,11768651.947894,3978725.70026,757531.3154599998,13331244.02528,1985959.50775,5106560.634039999,7255727.26592
50,2021-03-01,107225.9,24627.6,107225884.48978,103243215.2959,3982669.19388,107225884.48978,33646699.760530025,28304088.351349995,39721336.17659,5553760.2013112,107225884.48978,75459017.55465901,12468763.319620002,29069610.328839995,3638242.4525299994,11823788.248000002,13353172.975238996,4214424.174690001,891016.0557400002,14963310.65866,2205228.88445,6918341.6043300005,7679985.787682
51,2021-04-01,106870.2,23407.5,106870185.88608997,102742178.64234994,4128007.24374,106870185.88608997,33030717.33914999,28509160.0986,39528435.06,5801873.388339999,106870185.88608997,76493949.46388401,11739913.650000002,29827096.111789003,3616384.033422,12309094.615401998,14047026.358151,4041721.71468,912712.98044,14912712.276950002,2217601.1994699994,6042114.41201,7203808.53378
52,2021-05-01,110604.7,23368.4,110604694.56479998,104997658.23470998,5607036.33009,110604694.56479998,33391018.41487,29448299.39426999,41132600.50917,6632776.246490001,110604694.56479998,78026097.546298,10758291.66159,31328427.63126999,3801495.08008,13116541.50778,14204902.667358004,3924175.62047,892263.3777500001,14517188.309739998,2686103.38935,7849584.392559998,7525720.92685
53,2021-06-01,116287.9,23678.0,116287892.95615998,111477594.54618998,4810298.409969999,116287892.95615998,34735136.74001,32637663.36478999,42074159.71627,6840933.135089999,116287892.95615998,80623853.6640056,11744001.500854203,32622021.607925497,3921981.95258,13537963.9593117,14134807.8791205,3748454.1741137006,914622.5901,14484893.559882898,3640081.8683,9514178.63086,8024885.233111579
